instrument,exchange,tm,value,type,timeinterval
BTCUSD_PERP,binance,2022/2/17 23:59,8149349,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:59,74877.694,,minutes
BTCUSDT,binance,2022/2/17 23:58,74878.068,,minutes
BTCUSD_PERP,binance,2022/2/17 23:58,8147445,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:57,8145642,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:57,74879.021,,minutes
BTCUSDT,binance,2022/2/17 23:56,74888.337,,minutes
BTCUSD_PERP,binance,2022/2/17 23:56,8139256,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:55,8147335,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:55,74918.145,,minutes
BTCUSDT,binance,2022/2/17 23:54,74927.436,,minutes
BTCUSD_PERP,binance,2022/2/17 23:54,8147741,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:53,8145150,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:53,74904.975,,minutes
BTCUSDT,binance,2022/2/17 23:52,74957.799,,minutes
BTCUSD_PERP,binance,2022/2/17 23:52,8145022,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:51,8144916,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:51,74955.003,,minutes
BTCUSDT,binance,2022/2/17 23:50,74956.55,,minutes
BTCUSD_PERP,binance,2022/2/17 23:50,8149176,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:49,8146995,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:49,74944.402,,minutes
BTCUSDT,binance,2022/2/17 23:48,74934.623,,minutes
BTCUSD_PERP,binance,2022/2/17 23:48,8154382,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:47,8155540,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:47,74924.946,,minutes
BTCUSDT,binance,2022/2/17 23:46,74913.396,,minutes
BTCUSD_PERP,binance,2022/2/17 23:46,8155897,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:45,8157590,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:45,74917.245,,minutes
BTCUSDT,binance,2022/2/17 23:44,74896.72,,minutes
BTCUSD_PERP,binance,2022/2/17 23:44,8149804,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:43,8149140,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:43,74953.895,,minutes
BTCUSDT,binance,2022/2/17 23:42,74967.998,,minutes
BTCUSD_PERP,binance,2022/2/17 23:42,8148207,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:41,8148866,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:41,74978.346,,minutes
BTCUSDT,binance,2022/2/17 23:40,75019.456,,minutes
BTCUSD_PERP,binance,2022/2/17 23:40,8148757,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:39,8151313,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:39,75004.081,,minutes
BTCUSDT,binance,2022/2/17 23:38,75062.899,,minutes
BTCUSD_PERP,binance,2022/2/17 23:38,8147609,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:37,8146545,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:37,75099.092,,minutes
BTCUSDT,binance,2022/2/17 23:36,75083.844,,minutes
BTCUSD_PERP,binance,2022/2/17 23:36,8146788,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:35,8138428,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:35,75099.277,,minutes
BTCUSDT,binance,2022/2/17 23:34,75135.563,,minutes
BTCUSD_PERP,binance,2022/2/17 23:34,8135336,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:33,8137933,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:33,75130.707,,minutes
BTCUSDT,binance,2022/2/17 23:32,75137.219,,minutes
BTCUSD_PERP,binance,2022/2/17 23:32,8139113,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:31,8137533,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:31,75115.198,,minutes
BTCUSDT,binance,2022/2/17 23:30,75035.054,,minutes
BTCUSD_PERP,binance,2022/2/17 23:30,8131275,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:29,8130424,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:29,75025.763,,minutes
BTCUSDT,binance,2022/2/17 23:28,75021.849,,minutes
BTCUSD_PERP,binance,2022/2/17 23:28,8130781,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:27,8130779,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:27,75006.896,,minutes
BTCUSDT,binance,2022/2/17 23:26,75013.491,,minutes
BTCUSD_PERP,binance,2022/2/17 23:26,8128291,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:25,8130645,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:25,75017.212,,minutes
BTCUSDT,binance,2022/2/17 23:24,75008.716,,minutes
BTCUSD_PERP,binance,2022/2/17 23:24,8130778,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:23,8127028,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:23,75004.128,,minutes
BTCUSDT,binance,2022/2/17 23:22,74979.997,,minutes
BTCUSD_PERP,binance,2022/2/17 23:22,8121267,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:21,8123294,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:21,74969.985,,minutes
BTCUSDT,binance,2022/2/17 23:20,74958.217,,minutes
BTCUSD_PERP,binance,2022/2/17 23:20,8126033,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:19,8124226,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:19,74964.793,,minutes
BTCUSDT,binance,2022/2/17 23:18,74924.397,,minutes
BTCUSD_PERP,binance,2022/2/17 23:18,8128181,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:17,8133633,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:17,74915.25,,minutes
BTCUSDT,binance,2022/2/17 23:16,74912.526,,minutes
BTCUSD_PERP,binance,2022/2/17 23:16,8133860,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:15,8130841,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:15,74889.619,,minutes
BTCUSDT,binance,2022/2/17 23:14,74873.218,,minutes
BTCUSD_PERP,binance,2022/2/17 23:14,8133942,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:13,8134879,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:13,74910.332,,minutes
BTCUSDT,binance,2022/2/17 23:12,74935.005,,minutes
BTCUSD_PERP,binance,2022/2/17 23:12,8139450,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:11,8138701,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:11,74922.057,,minutes
BTCUSDT,binance,2022/2/17 23:10,74892.643,,minutes
BTCUSD_PERP,binance,2022/2/17 23:10,8140365,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:09,8143284,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:09,74882.202,,minutes
BTCUSDT,binance,2022/2/17 23:08,74874.782,,minutes
BTCUSD_PERP,binance,2022/2/17 23:08,8142004,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:07,8146675,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:07,74870.136,,minutes
BTCUSDT,binance,2022/2/17 23:06,74865.39,,minutes
BTCUSD_PERP,binance,2022/2/17 23:06,8145051,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:05,8145651,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:05,74856.405,,minutes
BTCUSDT,binance,2022/2/17 23:04,74861.362,,minutes
BTCUSD_PERP,binance,2022/2/17 23:04,8144688,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 23:03,8144136,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 23:03,74839.583,,minutes
BTCUSDT,binance,2022/2/17 23:02,74857.879,,minutes
